Full-Text Downloads for 2012-02-01 through 2013-09-20 for Berkeley Law Scholarship Repository																						
Title	URL	First published	2/1/2012	3/1/2012	4/1/2012	5/1/2012	6/1/2012	7/1/2012	8/1/2012	9/1/2012	10/1/2012	11/1/2012	12/1/2012	1/1/2013	2/1/2013	3/1/2013	4/1/2013	5/1/2013	6/1/2013	7/1/2013	8/1/2013	9/1/2013
Personal versus Impersonal Trade: The Size of Trading Groups and Contract Law	http://works.bepress.com/robert_cooter/126	7/28/2006	5	6	11	12	7	12	6	8	13	7	2	4	16	8	13	11	7	10	9	2
Division of Powers In the European Constitution	http://works.bepress.com/robert_cooter/58	1/20/2004	5	6	7	8	5	6	2	6	5	4	2	3	3	1	2	1	0	0	0	1
Law and Unified Social Theory	http://works.bepress.com/robert_cooter/11	1/20/2004	5	7	9	12	11	9	6	5	7	5	0	1	2	3	8	4	0	1	0	1
"Executions, Deterrence and Homicide: A Tale of Two Cities"	http://works.bepress.com/franklin_zimring/5	9/1/2009	5	13	9	4	1	1	2	3	7	8	5	2	2	2	2	1	7	6	7	3
"Report and Recommendations Made by the Panel of Commissioners Concerning the Thirteenth Installment (the Goods & Services Installment) of ""E2"" Claims (Bernard Audit - Chair, Jose Maria Abascal, David D. Caron), United Nations Compensation Commission for Claims Arising Out of the 1990 Gulf War, U.N. Doc. S/AC.26/2003/10 (26 June 2003)"	http://works.bepress.com/david_caron/91	5/7/2009	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
Assumption of Risk (The Monsanto Lecture)	http://works.bepress.com/stephen_sugarman/18	11/15/2006	5	3	7	2	0	2	1	0	15	22	30	3	4	1	4	2	2	1	3	2
Hamdan V. Rumsfeld: The Functional Case for Foreign Affairs Deference to the Executive Branch	http://works.bepress.com/johnyoo/35	7/16/2008	5	7	20	12	0	1	2	4	2	2	4	0	0	5	5	1	1	1	5	1
The Best Right Laws: Value Foundations of the Economic Analysis of Law	http://works.bepress.com/robert_cooter/23	1/20/2004	5	8	10	12	5	11	4	9	5	17	8	9	4	12	9	5	3	4	6	4
"Charity, Publicity and the Donation Registry"	http://works.bepress.com/robert_cooter/102	9/14/2005	5	5	23	15	6	7	13	7	4	10	4	2	7	4	6	9	3	3	2	1
Capital Market Regulation in Developing Countries	http://works.bepress.com/andrew_guzman/16	4/1/2008	5	8	5	7	10	3	2	15	4	4	4	2	5	1	1	4	0	2	5	1
International Competition Law	http://works.bepress.com/andrew_guzman/23	4/21/2008	5	0	2	4	1	0	1	2	0	4	1	2	1	3	5	0	1	3	0	0
Does Risk to Oneself Increase the Care Owed to Others? Law and Economics in Conflict	http://works.bepress.com/robert_cooter/3	1/20/2004	5	6	10	13	5	8	3	4	4	4	4	0	4	3	2	3	0	2	3	3
Contemporary International Law Issues in the Asia Pacific:  The Importance and Challenge of the Difference Between  Principles and Rules in International Law	http://works.bepress.com/david_caron/118	7/5/2011	5	11	17	11	4	6	3	2	9	10	8	0	6	5	4	6	3	5	7	2
Clearings and Thickets	http://works.bepress.com/robert_cooter/161	8/23/2011	5	6	4	14	6	6	6	9	4	4	5	6	6	9	9	4	4	5	3	2
The Savings Impact of the Implicit Taxes from College Financial Aid	http://works.bepress.com/aaron_edlin/22	1/23/2004	5	4	4	9	2	2	6	5	2	1	0	1	5	3	5	0	2	0	0	0
Diritto e Economia	http://works.bepress.com/robert_cooter/115	7/19/2006	5	1	3	10	4	7	3	6	3	1	1	1	0	0	3	3	2	5	0	1
Negotiating Our Future with the Oceans	http://works.bepress.com/david_caron/113	7/20/2010	5	1	3	5	5	3	14	15	2	3	2	37	0	0	4	2	0	3	0	1
"War, Responsibility, and the Age of Terrorism"	http://works.bepress.com/johnyoo/16	3/21/2008	5	3	3	1	1	1	1	4	3	2	0	43	27	3	3	0	2	5	7	5
A Comparative Law Look at Pain and Suffering Awards	http://works.bepress.com/stephen_sugarman/8	10/20/2006	5	3	4	2	6	6	2	3	4	2	3	2	0	0	3	2	1	1	0	1
"Politics, Law and Three Images of the Arctic"	http://works.bepress.com/david_caron/8	5/29/2008	5	1	0	3	0	1	0	3	2	3	0	2	0	1	0	1	1	0	0	0
A Theory of Loss Allocation for Consumer Payments	http://works.bepress.com/robert_cooter/26	1/20/2004	5	6	5	8	7	7	5	12	4	2	2	1	3	3	3	2	1	2	2	2
Per-Mile Premiums for Auto Insurance	http://works.bepress.com/aaron_edlin/28	1/23/2004	5	12	12	21	10	16	11	12	8	8	18	7	11	10	19	8	14	10	4	3
Antitrust and International Regulatory Federalism	http://works.bepress.com/andrew_guzman/11	3/31/2008	5	1	2	4	2	1	4	2	0	0	6	1	3	0	2	2	1	1	2	0
Choice of Law: New Foundations	http://works.bepress.com/andrew_guzman/22	4/16/2008	5	7	2	6	3	4	5	2	8	2	4	5	2	14	3	6	2	2	1	1
Is Perfect Price Discrimination Really Efficient? Welfare and Existence in General Equilibrium	http://works.bepress.com/aaron_edlin/12	1/23/2004	5	3	3	9	2	2	3	6	2	1	0	1	3	0	4	1	0	0	0	1
Were the Ordinalists Wrong About Welfare Economics?	http://works.bepress.com/robert_cooter/31	1/20/2004	5	12	14	16	12	15	8	15	26	9	10	6	7	32	16	17	11	6	9	7
"Innovation, Information and the Poverty of Nations"	http://works.bepress.com/robert_cooter/133	8/9/2006	5	4	4	10	3	4	3	7	3	1	3	2	2	2	3	3	0	0	0	1
An Economic Model of the Fiduciary's Duty of Loyalty	http://works.bepress.com/robert_cooter/44	1/20/2004	5	4	4	15	6	7	4	4	2	2	0	2	3	2	5	1	1	4	2	0
Charity and Information: Correcting the Failure of a Disjunctive Social Norm	http://works.bepress.com/robert_cooter/158	7/19/2011	5	11	9	11	5	9	9	10	8	6	4	6	6	9	15	5	5	4	3	3
The Theory of Market Modernization of Law	http://works.bepress.com/robert_cooter/84	1/20/2004	5	20	8	10	5	4	7	3	2	1	0	2	2	4	6	1	0	0	2	0
BRINGING NEW LAW TO OCEAN WATERS	http://works.bepress.com/david_caron/11	5/29/2008	5	4	5	3	0	1	2	4	2	4	3	2	2	0	1	3	0	1	1	2
What is The Probability Your Vote will Make a Difference?	http://works.bepress.com/aaron_edlin/70	8/11/2009	5	5	8	8	6	2	10	17	40	55	17	9	9	11	18	3	7	7	5	5
"The Oceans in the Nuclear Age: Challenges, Questions and Possibilities"	http://works.bepress.com/david_caron/107	6/14/2010	5	2	8	6	1	5	0	1	3	6	0	1	1	1	1	1	2	3	1	0
An Economic Model of Legal Discovery	http://works.bepress.com/robert_cooter/113	7/18/2006	5	7	12	15	9	10	13	9	13	14	3	5	4	7	17	6	4	6	4	5
Issues in customary Land Law	http://works.bepress.com/robert_cooter/36	1/20/2004	5	2	3	8	2	5	3	4	2	0	0	0	1	1	2	0	0	1	0	0
"Holdups, Standard Breach Remedies, and Optimal Investment "	http://works.bepress.com/aaron_edlin/8	1/23/2004	4	2	7	5	9	7	14	9	9	7	9	7	6	12	21	2	6	7	10	2
Organization as Property: Economic Analysis of Property Law Applied to Privatization	http://works.bepress.com/robert_cooter/116	7/20/2006	4	6	3	9	3	6	3	6	5	2	1	4	4	5	2	1	1	1	1	0
Decentralized law for a Complex Economy: The Structural Approach to Adjudicating the New Law Merchant	http://works.bepress.com/robert_cooter/38	1/20/2004	4	20	13	14	16	13	17	27	13	11	8	4	6	23	15	10	7	9	6	5
Constitutional Consequentialism: Bargain Democracy versus Median Democracy	http://works.bepress.com/robert_cooter/5	1/20/2004	4	8	4	13	3	12	7	5	3	0	1	4	2	1	2	4	1	1	1	1
Discouraging Rivals: Managerial Rent-Seeking and Economic Inefficiencies	http://works.bepress.com/aaron_edlin/6	1/23/2004	4	6	7	4	5	1	4	5	2	9	0	0	0	3	7	5	3	5	1	2
Jefferson and Executive Power	http://works.bepress.com/johnyoo/28	7/10/2008	4	6	1	3	0	1	0	0	2	3	4	3	2	1	8	2	1	1	1	0
"Trade, Labor, Legitimacy"	http://works.bepress.com/andrew_guzman/28	4/21/2008	4	3	1	3	4	3	1	2	8	3	2	2	11	10	6	2	2	2	0	3
The Virtuous Circle of Distrust: A Mechanism to Deter Bribes and Other Cooperative Crimes 	http://works.bepress.com/robert_cooter/71	1/20/2004	4	8	4	14	7	6	4	7	6	1	2	3	4	2	6	4	7	1	5	0
Climate Change and Arctic Governance: Three Images of a Changing Arctic	http://works.bepress.com/david_caron/123	8/26/2011	4	7	8	9	3	4	2	9	15	11	11	5	4	4	11	5	7	1	1	8
Towards a Market in Unmatured Tort Claims	http://works.bepress.com/robert_cooter/21	1/20/2004	4	2	4	11	6	8	7	7	4	1	2	0	3	4	2	2	4	1	1	2
Expressive Law and Economics 	http://works.bepress.com/robert_cooter/72	1/20/2004	4	2	6	12	3	7	4	6	2	1	1	0	2	1	4	2	1	1	1	2
Choice and Duty in Foreign Affairs: The Reflagging of the Kuwaiti Tankers	http://works.bepress.com/david_caron/60	6/2/2008	4	9	18	9	5	1	1	1	0	4	0	2	4	4	0	4	3	3	2	0
The Cost of Credibility: Explaining Resistance to Interstate Dispute Resolution Mechanisms	http://works.bepress.com/andrew_guzman/10	3/31/2008	4	11	11	13	3	8	10	3	7	4	2	3	8	2	4	3	6	4	1	1
Saving Customary International Law	http://works.bepress.com/andrew_guzman/24	4/21/2008	4	2	10	7	7	9	5	2	6	0	4	18	3	12	15	4	4	3	3	5
Indian Common Law: The Role of Custom in American Indian Tribal Courts Part II	http://works.bepress.com/robert_cooter/2	1/20/2004	4	11	17	13	4	12	8	15	16	7	2	5	5	14	13	9	4	3	6	2
The United Nations Compensation Commission for Claims Arising Out of the 1991 Gulf War: The ‘Arising Prior To’ Decision	http://works.bepress.com/david_caron/5	5/29/2008	4	0	0	4	1	0	0	0	2	1	0	1	0	0	0	1	2	0	0	0
Inventing Market Property: The Land Courts of Papua New Guinea	http://works.bepress.com/robert_cooter/42	1/20/2004	4	12	14	18	6	14	5	7	9	2	2	2	13	5	8	6	5	6	8	3
Treaties and Public Lawmaking: A Textual and Structural Defense of Non-Self-Execution	http://works.bepress.com/johnyoo/26	5/14/2008	4	2	4	1	0	1	3	1	1	0	0	1	0	1	0	1	2	2	0	1
Total Liability for Excessive Harm	http://works.bepress.com/robert_cooter/107	5/25/2006	4	6	6	19	3	8	8	7	2	4	1	2	3	3	3	2	1	1	0	0
Chair -- 'Assessment of the UNICTRAL Rules Revision: A Roundtable'	http://works.bepress.com/david_caron/69	6/27/2008	4	1	2	4	4	9	10	13	9	29	13	5	5	6	3	5	9	7	3	7
"Models of Morality in Law and Economics: Self-Control and Self-Improvement for the ""Bad Man"" of Holmes"	http://works.bepress.com/robert_cooter/12	1/20/2004	4	13	6	15	4	5	3	3	11	4	1	1	3	1	7	3	0	0	7	0
International Bankruptcy: In Defense of Universalism	http://works.bepress.com/andrew_guzman/32	4/21/2008	4	5	10	18	2	2	2	2	2	2	5	2	7	2	4	4	6	0	1	2
"Unitary, Executive, or Both?"	http://works.bepress.com/johnyoo/50	3/12/2010	4	3	1	0	2	0	0	3	15	3	0	0	0	0	0	0	0	1	5	1
"Louis Henkin’s Integrity, Brilliance and ‘Felicity of Expression’: Remarks on his Receipt of the 2003 Stefan A. Riesenfeld Prize"	http://works.bepress.com/david_caron/54	5/30/2008	4	1	1	4	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0
Adapt or Optimize? The Psychology and Economics of Rules of Evidence	http://works.bepress.com/robert_cooter/136	12/1/2006	4	1	4	11	4	4	3	4	2	0	0	0	0	0	2	0	0	0	1	0
A Closed Model of Careers in a Simple Hierarchy	http://works.bepress.com/robert_cooter/32	1/20/2004	3	5	5	7	3	8	3	4	2	0	2	0	3	5	3	1	1	1	0	1
A Restatement of Torts 	http://works.bepress.com/stephen_sugarman/21	11/15/2006	3	6	9	4	10	0	5	11	14	11	7	10	12	9	11	7	8	3	6	4
Do Good Laws Make Good Citizens? An Economic Analysis of Internalizing Legal Values 	http://works.bepress.com/robert_cooter/73	1/20/2004	3	8	10	13	4	9	3	4	2	0	1	1	1	0	3	3	0	1	1	1
Liability Externalities and Mandatory Choices: Should Doctors Pay Less?	http://works.bepress.com/robert_cooter/142	6/22/2007	3	6	8	12	6	7	3	4	2	0	0	0	0	2	3	1	0	0	0	1
Making War	http://works.bepress.com/johnyoo/32	7/16/2008	3	1	0	3	0	0	0	0	0	0	0	2	0	4	0	0	1	1	0	0
United States Tort Reform Wars	http://works.bepress.com/stephen_sugarman/19	11/15/2006	3	6	5	2	3	2	1	0	4	0	0	1	0	0	0	0	0	0	0	1
Customary International Law in the 21st Century	http://works.bepress.com/andrew_guzman/19	4/15/2008	3	3	1	3	9	1	1	2	1	0	2	2	0	0	4	1	1	2	2	0
"If Afghanistan has Failed, Then Afghanistan is Dead: ‘Failed States’ and the Inappropriate Substitution of Legal Conclusion for Political Description"	http://works.bepress.com/david_caron/4	5/29/2008	3	3	2	3	0	1	0	1	0	2	0	1	1	0	0	0	1	0	0	0
Editor's Introduction	http://works.bepress.com/robert_cooter/118	7/20/2006	3	1	4	8	4	4	2	3	2	1	0	0	1	0	1	0	0	0	0	0
Safety in Numbers?: Deciding When DNA Alone Is Enough To Convict	http://works.bepress.com/andrea_roth/2	8/19/2009	3	8	12	19	6	1	2	6	4	3	2	2	1	1	6	4	4	1	2	1
Trial Courts: An Economic Perspective	http://works.bepress.com/robert_cooter/129	8/1/2006	3	1	2	8	7	4	5	4	4	1	0	3	1	5	4	3	1	0	0	2
Leximetrics: Why the Same Laws are Longer in Some Countries than Others	http://works.bepress.com/robert_cooter/134	8/11/2006	3	7	6	10	6	7	3	6	3	0	1	4	0	2	5	1	3	1	2	0
Let's Try Performance-Based Regulation to Attack Our Smoking and Obesity Problems	http://works.bepress.com/stephen_sugarman/16	11/15/2006	3	4	4	3	2	2	0	1	2	0	0	0	0	0	0	1	1	1	1	0
Confronting Ethical Issues in Internartional Arbitration	http://works.bepress.com/david_caron/103	6/10/2010	3	1	10	4	2	0	2	3	7	7	0	4	0	2	0	2	2	0	1	0
Criminology and Its Discontents	http://works.bepress.com/franklin_zimring/3	1/28/2008	3	3	2	5	0	2	1	2	1	1	3	0	3	2	3	1	2	1	1	0
Decreasing Liability Contracts	http://works.bepress.com/robert_cooter/57	1/20/2004	3	3	3	10	6	4	3	4	2	1	2	3	0	1	3	0	0	0	0	0
Decreasing-Liability Contracts	http://works.bepress.com/robert_cooter/108	6/20/2006	3	3	4	8	3	5	4	4	3	3	1	0	2	1	1	1	0	0	0	0
The Claims of Two Gulfs	http://works.bepress.com/david_caron/112	7/14/2010	3	0	0	0	1	0	0	1	1	3	1	1	0	0	1	0	2	1	0	0
"Fairness, Character and Efficiency in Firms"	http://works.bepress.com/robert_cooter/20	1/20/2004	3	2	4	10	3	6	3	6	2	2	0	0	2	0	4	3	0	0	1	2
THE UNCITRAL ARBITRATION RULES AS INTERPRETED AND APPLIED: SELECTED PROBLEMS IN LIGHT OF THE PRACTICE OF THE IRAN UNITED STATES CLAIMS TRIBUNAL	http://works.bepress.com/david_caron/20	5/30/2008	3	3	0	2	1	1	0	3	4	4	1	1	2	0	2	3	0	1	0	0
The Place of the Environment in International Tribunals	http://works.bepress.com/david_caron/94	7/23/2009	3	3	0	0	0	1	0	0	1	4	0	0	5	0	2	0	2	0	0	0
The Promise of International Law	http://works.bepress.com/andrew_guzman/5	3/31/2008	3	5	5	2	3	1	3	3	1	2	3	2	0	2	5	2	2	1	4	1
The Myth of International Delegation	http://works.bepress.com/andrew_guzman/3	3/31/2008	3	3	1	2	3	0	1	1	0	5	1	1	1	1	0	1	0	2	0	0
Mongolia: Avoiding Tragedy in the World's Largest Commons	http://works.bepress.com/robert_cooter/7	1/20/2004	3	1	3	10	3	4	4	4	4	6	0	0	1	0	1	1	0	0	0	1
Commodifying Liability	http://works.bepress.com/robert_cooter/66	1/20/2004	3	5	4	11	3	6	3	5	4	0	2	2	1	0	2	1	1	0	0	1
Decentralised Law	http://works.bepress.com/robert_cooter/8	1/20/2004	3	5	5	8	4	5	4	3	4	1	0	2	1	0	2	2	1	0	1	1
War and International Adjudication: Reflections on the 1899 Peace Conference	http://works.bepress.com/david_caron/15	5/29/2008	3	5	3	4	3	2	1	12	9	12	6	7	2	2	11	12	2	14	4	3
How International Law Works: A Response to Commentators	http://works.bepress.com/andrew_guzman/44	3/24/2009	3	5	2	3	8	4	2	4	1	3	3	4	2	2	2	2	5	3	2	0
" Treating Yourself Instrumentally: Internalization, Rationality and Law"	http://works.bepress.com/robert_cooter/76	1/20/2004	3	1	3	10	3	7	3	4	3	0	0	1	0	0	4	1	0	0	0	0
Wartime Process: A Dialogue on Congressional Power to Remove Issues from the Federal Courts	http://works.bepress.com/johnyoo/33	7/16/2008	3	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
Punitive Damages for Deterrence: When and How Much?	http://works.bepress.com/robert_cooter/91	2/10/2004	3	2	2	9	9	10	5	5	3	10	4	2	4	3	9	6	5	1	0	3
Power Plays and Capacity Constraints: The Selection of Defendants in WTO Disputes	http://works.bepress.com/andrew_guzman/6	3/31/2008	3	6	4	4	4	0	0	7	1	3	2	5	1	2	3	0	1	2	2	1
"Report and Recommendations Made by the Panel of Commissioners Concerning the Fifteenth Installment (the Trade in Goods & Supply of Services Installment) of ""E2"" Claims (Bernard Audit - Chair, Jose Maria Abascal, David D. Caron), United Nations Compensation Commission for Claims Arising Out of the 1990 Gulf War, U.N. Doc. S/AC.26/2003/29 (18 December 2003)"	http://works.bepress.com/david_caron/92	5/7/2009	3	1	0	0	2	0	0	0	0	4	1	2	1	0	0	0	0	1	0	0
An Escape from Poverty: Developing Productive Organization	http://works.bepress.com/robert_cooter/135	11/29/2006	3	2	3	10	4	4	3	8	3	1	0	3	1	0	3	2	0	0	2	1
Climate Change and U.S. Interests	http://works.bepress.com/andrew_guzman/40	1/9/2009	2	9	6	1	3	2	2	64	17	7	6	4	4	1	6	8	7	1	2	2
Administration of War	http://works.bepress.com/johnyoo/48	3/12/2010	2	5	1	3	1	1	1	5	0	0	1	3	0	0	0	1	2	1	0	0
Images of the Arctic and the Futures They Suggest	http://works.bepress.com/david_caron/119	7/5/2011	2	1	2	3	0	1	0	2	2	3	1	7	1	1	1	1	0	3	0	0
Ideoloigcal Flip-Flop: American Liberals Are Now the Primary Supporters of Tort Law	http://works.bepress.com/stephen_sugarman/25	12/6/2006	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
The World of Intellectual Property and the Decision to Arbitrate	http://works.bepress.com/david_caron/34	5/30/2008	2	5	1	1	0	3	2	0	1	6	3	2	0	2	0	2	1	4	2	0
The Welfare Losses from Price-Matching Policies	http://works.bepress.com/aaron_edlin/14	1/23/2004	2	3	2	5	5	3	6	5	2	1	2	1	0	1	3	0	1	1	0	0
THE OCEANS IN THE NUCLEAR AGE	http://works.bepress.com/david_caron/40	5/30/2008	2	0	1	2	1	3	1	6	5	3	1	1	1	1	3	2	1	2	2	2
A Century of Change in Personal Injury Law	http://works.bepress.com/stephen_sugarman/12	11/15/2006	2	9	0	2	3	3	0	0	5	2	2	3	1	2	0	3	1	1	1	0
A New Expenditure Function	http://works.bepress.com/robert_cooter/125	7/28/2006	2	2	3	4	4	4	1	4	2	0	1	1	1	2	1	1	0	1	0	1
Should Courts Deduct Nonlegal Sanctions from Damages?	http://works.bepress.com/robert_cooter/4	1/20/2004	2	2	5	10	4	6	5	4	2	0	1	0	2	1	2	3	0	0	0	2
The Law and Economics of Anthropology: A Review 	http://works.bepress.com/robert_cooter/63	1/20/2004	2	6	7	12	6	5	4	5	3	1	5	5	1	0	3	2	1	0	3	0
Anticipating the Future	http://works.bepress.com/david_caron/114	7/20/2010	2	1	1	0	0	0	0	2	1	2	0	2	1	1	0	1	0	0	0	0
The Choose-your-Charity Tax: A Way to Incentivize Greater Giving	http://works.bepress.com/aaron_edlin/41	11/2/2005	2	3	3	4	2	3	3	2	12	1	1	4	0	3	8	4	3	0	1	1
Optimal Tax Schedules and Rates: Mirrlees and Ramsey	http://works.bepress.com/robert_cooter/34	1/20/2004	2	2	2	11	4	7	5	8	4	2	1	0	4	4	5	0	2	2	1	0
Commodifying Liability	http://works.bepress.com/robert_cooter/50	1/20/2004	2	3	6	12	3	5	3	4	4	0	1	1	0	1	3	1	0	0	0	1
State Crimes: Looking at Municipal Experience with Organizational Crime	http://works.bepress.com/david_caron/37	5/30/2008	2	1	4	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Making the Food and Beverage Industry Take Responsibility for Reducing Childhood Obesity: A Market-based Approach to Public Health	http://works.bepress.com/stephen_sugarman/15	11/15/2006	2	2	1	1	1	7	2	4	2	4	2	0	1	0	0	4	0	1	0	2
How the Law Circumvents Starrett's Nonconvexity	http://works.bepress.com/robert_cooter/131	8/1/2006	2	4	5	5	2	6	6	4	2	1	1	1	5	1	4	2	1	0	0	0
"Judges as Tort Law Un-Makers: Recent California Experience with ""New"" Torts"	http://works.bepress.com/stephen_sugarman/13	11/15/2006	2	1	3	1	0	0	1	1	4	2	1	1	0	0	1	0	0	0	0	0
"Defective Warnings, Remote Causes, and Bankruptcy: Comment on Schwartz"	http://works.bepress.com/robert_cooter/122	7/25/2006	2	3	3	10	6	7	3	3	3	2	2	2	2	1	1	1	0	0	1	1
Determining the Appropriate Standard of Review in WTO Dispute Resolution	http://works.bepress.com/andrew_guzman/46	3/24/2009	2	14	6	10	3	3	5	3	7	7	2	12	1	4	3	4	2	4	6	0
Framing Political Theory of International Courts and Tribunals: Reflections at the Centennial	http://works.bepress.com/david_caron/7	5/29/2008	2	1	4	0	0	1	2	0	1	3	3	3	2	1	0	1	1	0	1	0
The Donation Registry	http://works.bepress.com/robert_cooter/141	2/14/2007	2	3	3	8	3	4	3	4	2	0	0	0	2	0	2	0	0	0	0	0
Expressive Law: Framing or Equilibrium Selection? 	http://works.bepress.com/robert_cooter/70	1/20/2004	2	6	5	10	5	4	3	3	4	0	1	3	1	1	8	2	2	1	2	1
Approving Charter Schools: The Gatekeeper Function	http://works.bepress.com/stephen_sugarman/17	11/15/2006	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Per-Mile Premiums For Auto Insurance:  NBER version	http://works.bepress.com/aaron_edlin/55	4/5/2008	2	4	4	5	3	3	7	9	7	4	10	5	4	4	17	1	14	5	3	5
Truth-Bonding and other Truth-Revealing Mechanisms for Courts	http://works.bepress.com/robert_cooter/98	7/28/2004	2	3	4	9	3	4	3	4	2	0	0	0	1	1	4	1	0	0	1	0
"Two Strands of Change, ASIL Newsletter"	http://works.bepress.com/david_caron/129	2/7/2012	2	6	3	2	1	2	0	1	0	4	1	0	0	0	0	0	0	1	0	0
Towards A Political Theory of International Courts and Tribunals	http://works.bepress.com/david_caron/79	2/6/2009	2	6	5	3	3	1	0	0	4	5	4	2	1	3	0	2	0	0	0	0
Void for Vagueness: Introduction to a Symposium	http://works.bepress.com/robert_cooter/111	7/18/2006	2	2	3	9	4	3	4	3	2	0	1	0	1	1	3	0	0	0	1	3
Optimal Income Taxation for Transfer Payments Under Different Social Welfare Criteria	http://works.bepress.com/robert_cooter/35	1/20/2004	2	2	4	9	8	5	8	9	3	9	6	3	3	1	3	6	2	0	0	2
Keeping Imports Safe: A Proposal For Discriminatory Regulation Of International Trade	http://works.bepress.com/andrew_guzman/17	4/1/2008	2	1	1	1	4	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0
"9/11 and the Tail of Historic Events, The American Society of International Law"	http://works.bepress.com/david_caron/125	9/21/2011	2	1	4	0	0	0	0	1	1	3	0	0	0	0	0	0	0	1	0	2
"Report and Recommendations Made by the Panel of Commissioners Concerning the First Installment of ""E2"" Claims (Bernard Audit - Chair, Jose Maria Abascal, David D. Caron), United Nations Compensation Commission for Claims Arising Out of the 1990 Gulf War, U.N. Doc. S/AC.26/1998/7 (2 July 1998)."	http://works.bepress.com/david_caron/70	6/27/2008	2	1	1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0
Why France Needs to Collect Data on Racial Identity . . . in A French Way.	http://works.bepress.com/david_oppenheimer/1	12/24/2007	2	9	14	4	6	0	0	5	0	1	0	0	0	2	0	5	2	0	1	2
